layout-HitReact	Chasing	24	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	28	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	31	Body	30	1	30	10	0	3
lethal-Recovering	Dead	34	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	15	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	15	Body	30	1	30	100	70	1
reaction-recovered	Chasing	15	Body	30	1	30	100	70	1
head-shot	Chasing	16	Head	30	2	60	70	10	2
lethal-body	Dead	17	Body	30	1	30	10	0	3
death-middle	Dead	17	Body	30	1	30	10	0	3
corpse-final	Dead	17	Body	30	1	30	10	0	3
corpse-inactive	Dead	17	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	18	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	18	Body	30	1	30	100	70	1
loop-lethal	Dead	20	Body	30	1	30	10	0	3
loop-complete	Dead	20	Body	30	1	30	10	0	3
layout-Idle	Chasing	21	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	22	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	23	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	24	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	28	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	31	Body	30	1	30	10	0	3
lethal-Recovering	Dead	34	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	15	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	15	Body	30	1	30	100	70	1
reaction-recovered	Chasing	15	Body	30	1	30	100	70	1
head-shot	Chasing	16	Head	30	2	60	70	10	2
lethal-body	Dead	17	Body	30	1	30	10	0	3
death-middle	Dead	17	Body	30	1	30	10	0	3
corpse-final	Dead	17	Body	30	1	30	10	0	3
corpse-inactive	Dead	17	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	18	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	18	Body	30	1	30	100	70	1
loop-lethal	Dead	20	Body	30	1	30	10	0	3
loop-complete	Dead	20	Body	30	1	30	10	0	3
layout-Idle	Chasing	21	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	22	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	23	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	24	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	28	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	31	Body	30	1	30	10	0	3
lethal-Recovering	Dead	34	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	15	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	15	Body	30	1	30	100	70	1
reaction-recovered	Chasing	15	Body	30	1	30	100	70	1
head-shot	Chasing	16	Head	30	2	60	70	10	2
lethal-body	Dead	17	Body	30	1	30	10	0	3
death-middle	Dead	17	Body	30	1	30	10	0	3
corpse-final	Dead	17	Body	30	1	30	10	0	3
corpse-inactive	Dead	17	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	18	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	18	Body	30	1	30	100	70	1
loop-lethal	Dead	20	Body	30	1	30	10	0	3
loop-complete	Dead	20	Body	30	1	30	10	0	3
layout-Idle	Chasing	21	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	22	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	23	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	24	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	28	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	31	Body	30	1	30	10	0	3
lethal-Recovering	Dead	34	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	15	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	15	Body	30	1	30	100	70	1
reaction-recovered	Chasing	15	Body	30	1	30	100	70	1
head-shot	Chasing	16	Head	30	2	60	70	10	2
lethal-body	Dead	17	Body	30	1	30	10	0	3
death-middle	Dead	17	Body	30	1	30	10	0	3
corpse-final	Dead	17	Body	30	1	30	10	0	3
corpse-inactive	Dead	17	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	18	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	18	Body	30	1	30	100	70	1
loop-lethal	Dead	20	Body	30	1	30	10	0	3
loop-complete	Dead	20	Body	30	1	30	10	0	3
layout-Idle	Chasing	21	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	22	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	23	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	24	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	28	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	31	Body	30	1	30	10	0	3
lethal-Recovering	Dead	34	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	15	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	15	Body	30	1	30	100	70	1
reaction-recovered	Chasing	15	Body	30	1	30	100	70	1
head-shot	Chasing	16	Head	30	2	60	70	10	2
lethal-body	Dead	17	Body	30	1	30	10	0	3
death-middle	Dead	17	Body	30	1	30	10	0	3
corpse-final	Dead	17	Body	30	1	30	10	0	3
corpse-inactive	Dead	17	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	18	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	18	Body	30	1	30	100	70	1
loop-lethal	Dead	20	Body	30	1	30	10	0	3
loop-complete	Dead	20	Body	30	1	30	10	0	3
layout-Idle	Chasing	21	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	22	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	23	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	24	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	28	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	31	Body	30	1	30	10	0	3
lethal-Recovering	Dead	34	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	53	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	53	Body	30	1	30	100	70	1
reaction-recovered	Chasing	53	Body	30	1	30	100	70	1
head-shot	Chasing	54	Head	30	2	60	70	10	2
lethal-body	Dead	55	Body	30	1	30	10	0	3
death-middle	Dead	55	Body	30	1	30	10	0	3
corpse-final	Dead	55	Body	30	1	30	10	0	3
corpse-inactive	Dead	55	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	56	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	56	Body	30	1	30	100	70	1
loop-lethal	Dead	58	Body	30	1	30	10	0	3
loop-complete	Dead	58	Body	30	1	30	10	0	3
layout-Idle	Chasing	59	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	60	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	61	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	62	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	66	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	69	Body	30	1	30	10	0	3
lethal-Recovering	Dead	72	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	53	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	53	Body	30	1	30	100	70	1
reaction-recovered	Chasing	53	Body	30	1	30	100	70	1
head-shot	Chasing	54	Head	30	2	60	70	10	2
lethal-body	Dead	55	Body	30	1	30	10	0	3
death-middle	Dead	55	Body	30	1	30	10	0	3
corpse-final	Dead	55	Body	30	1	30	10	0	3
corpse-inactive	Dead	55	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	56	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	56	Body	30	1	30	100	70	1
loop-lethal	Dead	58	Body	30	1	30	10	0	3
loop-complete	Dead	58	Body	30	1	30	10	0	3
layout-Idle	Chasing	59	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	60	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	61	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	62	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	66	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	69	Body	30	1	30	10	0	3
lethal-Recovering	Dead	72	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	53	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	53	Body	30	1	30	100	70	1
reaction-recovered	Chasing	53	Body	30	1	30	100	70	1
head-shot	Chasing	54	Head	30	2	60	70	10	2
lethal-body	Dead	55	Body	30	1	30	10	0	3
death-middle	Dead	55	Body	30	1	30	10	0	3
corpse-final	Dead	55	Body	30	1	30	10	0	3
corpse-inactive	Dead	55	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	56	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	56	Body	30	1	30	100	70	1
loop-lethal	Dead	58	Body	30	1	30	10	0	3
loop-complete	Dead	58	Body	30	1	30	10	0	3
layout-Idle	Chasing	59	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	60	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	61	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	62	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	66	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	69	Body	30	1	30	10	0	3
lethal-Recovering	Dead	72	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	57	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	57	Body	30	1	30	100	70	1
reaction-recovered	Chasing	57	Body	30	1	30	100	70	1
head-shot	Chasing	58	Head	30	2	60	70	10	2
lethal-body	Dead	59	Body	30	1	30	10	0	3
death-middle	Dead	59	Body	30	1	30	10	0	3
corpse-final	Dead	59	Body	30	1	30	10	0	3
corpse-inactive	Dead	59	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	60	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	60	Body	30	1	30	100	70	1
loop-lethal	Dead	62	Body	30	1	30	10	0	3
loop-complete	Dead	62	Body	30	1	30	10	0	3
layout-Idle	Chasing	63	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	64	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	65	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	66	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	70	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	73	Body	30	1	30	10	0	3
lethal-Recovering	Dead	76	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
layout-idle	Chasing	0	Unspecified	0	0	0	0	100	0
body-hit-react-start	HitReact	57	Body	30	1	30	100	70	1
body-hit-react-peak	HitReact	57	Body	30	1	30	100	70	1
reaction-recovered	Chasing	57	Body	30	1	30	100	70	1
head-shot	Chasing	58	Head	30	2	60	70	10	2
lethal-body	Dead	59	Body	30	1	30	10	0	3
death-middle	Dead	59	Body	30	1	30	10	0	3
corpse-final	Dead	59	Body	30	1	30	10	0	3
corpse-inactive	Dead	59	Body	30	1	30	10	0	3
loop-chase	Chasing	0	Unspecified	0	0	0	0	100	0
loop-dodge	AttackCommit	0	Unspecified	0	0	0	0	100	0
loop-body-reaction	HitReact	60	Body	30	1	30	100	70	1
loop-player-hit	AttackCommit	60	Body	30	1	30	100	70	1
loop-lethal	Dead	62	Body	30	1	30	10	0	3
loop-complete	Dead	62	Body	30	1	30	10	0	3
layout-Idle	Chasing	63	Head	0.01	2	0.02	100	99.98	1
layout-Locomotion	Chasing	64	Head	0.01	2	0.02	99.98	99.96001	2
layout-Attack	Chasing	65	Head	0.01	2	0.02	99.96001	99.94001	3
layout-HitReact	Chasing	66	Head	0.01	2	0.02	99.94001	99.92001	4
lethal-AttackWindup	Dead	70	Body	30	1	30	10	0	3
lethal-AttackCommit	Dead	73	Body	30	1	30	10	0	3
lethal-Recovering	Dead	76	Body	30	1	30	10	0	3
new-session-alive	Idle	0	Unspecified	0	0	0	0	100	0
